linkID,link
9,0
135,0
434,0
262,1
383,0
212,1
357,1
233,1
189,1
441,1
333,0
134,0
491,1
321,1
132,1
2,0
228,0
260,1
85,0
204,0
426,0
377,1
277,0
101,1
12,1
38,0
395,0
18,0
147,1
133,1
392,0
304,1
479,0
486,0
241,0
177,0
53,1
466,0
419,1
452,0
280,0
124,1
140,0
423,1
443,0
478,1
295,0
22,0
176,1
360,0
162,0
46,1
14,1
119,1
144,1
325,1
408,1
152,0
365,0
146,0
116,0
42,1
29,0
410,1
165,0
172,1
442,0
138,0
154,1
307,1
74,1
68,0
273,1
285,0
359,1
37,0
41,0
103,1
156,0
229,0
438,0
7,1
77,1
211,0
453,1
79,1
283,0
91,0
186,0
117,0
125,0
16,0
279,0
373,1
13,0
267,1
447,1
196,1
15,0
431,1
465,0
255,1
323,1
11,1
81,0
231,1
332,0
3,1
45,1
429,1
409,0
203,0
185,0
20,0
371,1
396,0
153,1
483,0
206,1
316,1
448,0
398,1
92,1
463,0
390,1
86,0
352,0
310,0
122,0
248,0
271,1
87,1
219,1
314,0
417,1
163,0
150,0
420,0
23,1
151,1
265,1
293,1
350,1
269,0
252,0
291,0
412,1
149,0
474,1
96,0
312,1
105,1
180,1
308,1
26,0
136,1
311,0
64,1
128,1
329,0
88,1
35,1
388,1
430,0
195,0
379,1
181,1
223,0
490,0
155,0
422,0
303,0
462,0
391,0
82,0
58,1
468,1
183,1
492,1
389,1
374,1
306,0
148,0
208,0
461,0
427,0
89,1
247,0
224,0
84,1
95,1
319,1
59,0
236,1
102,1
432,1
120,1
480,0
201,0
344,0
482,0
28,1
351,0
34,1
455,1
126,1
226,0
51,0
338,0
454,1
75,1
234,1
399,1
289,1
418,1
230,1
191,1
335,0
94,0
475,1
284,1
459,1
161,0
451,1
263,0
298,0
232,1
494,1
320,1
40,0
421,1
499,1
317,1
405,1
69,1
370,1
218,0
382,1
425,1
449,0
477,1
437,1
386,0
129,0
270,0
198,0
313,0
73,0
30,0
376,0
4,1
309,0
114,0
481,0
47,0
297,0
300,1
238,1
52,1
433,1
341,0
361,1
168,1
355,1
60,1
353,0
220,0
17,1
488,0
90,0
57,0
98,0
62,1
239,1
39,1
166,1
275,1
118,0
384,0
249,0
182,0
178,0
97,0
143,0
170,0
242,0
473,0
190,1
50,0
413,1
331,1
278,1
227,0
131,1
393,1
258,0
436,1
489,1
158,0
127,0
290,0
173,0
24,0
305,1
25,1
343,1
334,0
6,0
378,1
487,0
259,1
460,0
327,0
243,0
336,0
387,1
363,0
253,1
121,0
1,0
467,0
202,1
145,0
397,1
251,1
188,0
70,1
324,0
315,1
250,1
194,1
66,0
67,1
496,0
266,1
264,0
282,1
0,1
472,0
216,0
139,1
476,1
493,1
354,1
444,0
362,1
65,1
174,0
215,0
411,0
356,1
222,0
193,1
141,0
123,0
458,1
221,1
292,1
33,0
440,1
406,0
27,1
268,0
369,0
164,0
10,0
19,0
294,1
159,1
450,1
403,1
179,1
281,0
339,1
400,0
167,0
209,1
244,0
157,1
137,0
254,0
404,0
175,0
366,1
367,1
484,1
439,0
61,0
318,0
83,1
36,0
415,1
93,1
347,1
192,1
256,0
108,0
349,0
112,1
240,1
76,1
54,1
301,0
106,1
328,1
245,1
142,0
495,0
31,0
497,1
184,1
445,0
485,0
200,0
380,0
214,0
296,1
498,0
210,0
235,0
302,1
63,1
274,0
424,0
385,1
107,1
113,0
407,0
276,0
381,1
435,1
109,1
416,1
287,0
130,1
330,0
326,0
364,0
322,0
21,1
100,0
375,1
457,0
414,0
213,0
43,1
32,1
456,0
197,0
115,0
207,0
80,1
446,1
286,1
48,1
237,0
358,1
257,1
340,0
199,0
217,0
464,1
469,0
205,1
5,1
78,1
394,1
72,0
470,1
401,1
169,0
428,0
345,1
342,0
372,0
56,1
55,0
104,0
110,1
49,1
471,1
171,1
337,1
346,0
402,0
246,1
111,0
160,0
71,1
99,0
44,1
272,0
8,1
299,1
261,0
225,1
288,0
348,0
187,0
368,1
